frame,time,direction
0,0.0,unknown
1,0.05,unknown
2,0.1,unknown
3,0.15,unknown
4,0.2,unknown
5,0.25,unknown
6,0.3,unknown
7,0.35,unknown
8,0.4,unknown
9,0.45,unknown
10,0.5,unknown
11,0.55,unknown
12,0.6,unknown
13,0.65,unknown
14,0.7,unknown
15,0.75,blinking
16,0.8,unknown
17,0.85,unknown
18,0.9,unknown
19,0.95,unknown
20,1.0,unknown
21,1.05,unknown
22,1.1,unknown
23,1.15,unknown
24,1.2,unknown
25,1.25,unknown
26,1.3,unknown
27,1.35,unknown
28,1.4,unknown
29,1.45,unknown
30,1.5,unknown
31,1.55,unknown
32,1.6,unknown
33,1.65,unknown
34,1.7,unknown
35,1.75,unknown
36,1.8,blinking
37,1.85,unknown
38,1.9,unknown
39,1.95,unknown
40,2.0,unknown
41,2.05,blinking
42,2.1,blinking
43,2.15,blinking
44,2.2,blinking
45,2.25,unknown
46,2.3,unknown
47,2.35,blinking
48,2.4,unknown
49,2.45,unknown
50,2.5,unknown
51,2.55,unknown
52,2.6,unknown
53,2.65,blinking
54,2.7,blinking
55,2.75,blinking
56,2.8,blinking
57,2.85,blinking
58,2.9,blinking
59,2.95,blinking
60,3.0,left
61,3.05,blinking
62,3.1,left
63,3.15,blinking
64,3.2,left
65,3.25,blinking
66,3.3,unknown
67,3.35,unknown
68,3.4,unknown
69,3.45,unknown
70,3.5,unknown
71,3.55,unknown
72,3.6,unknown
73,3.65,unknown
74,3.7,unknown
75,3.75,unknown
76,3.8,unknown
77,3.85,unknown
78,3.9,unknown
79,3.95,unknown
80,4.0,unknown
81,4.05,unknown
82,4.1,unknown
83,4.15,unknown
84,4.2,blinking
85,4.25,unknown
86,4.3,blinking
87,4.35,blinking
88,4.4,blinking
89,4.45,blinking
90,4.5,blinking
91,4.55,unknown
92,4.6,unknown
93,4.65,unknown
94,4.7,blinking
95,4.75,blinking
96,4.8,blinking
97,4.85,unknown
98,4.9,unknown
99,4.95,unknown
100,5.0,unknown
101,5.05,unknown
102,5.1,unknown
103,5.15,unknown
104,5.2,unknown
105,5.25,unknown
106,5.3,unknown
107,5.35,unknown
108,5.4,unknown
109,5.45,unknown
110,5.5,unknown
111,5.55,unknown
112,5.6,unknown
113,5.65,unknown
114,5.7,unknown
115,5.75,unknown
116,5.8,unknown
117,5.85,unknown
118,5.9,unknown
119,5.95,unknown
120,6.0,unknown
121,6.05,unknown
122,6.1,unknown
123,6.15,unknown
124,6.2,unknown
125,6.25,unknown
126,6.3,unknown
127,6.35,unknown
128,6.4,unknown
129,6.45,unknown
130,6.5,unknown
131,6.55,unknown
132,6.6,unknown
133,6.65,unknown
134,6.7,unknown
135,6.75,unknown
136,6.8,unknown
137,6.85,unknown
138,6.9,unknown
139,6.95,unknown
140,7.0,unknown
141,7.05,unknown
142,7.1,unknown
143,7.15,unknown
144,7.2,unknown
145,7.25,unknown
146,7.3,unknown
147,7.35,unknown
148,7.4,unknown
149,7.45,unknown
150,7.5,unknown
151,7.55,unknown
152,7.6,unknown
153,7.65,unknown
154,7.7,unknown
155,7.75,unknown
156,7.8,unknown
157,7.85,unknown
158,7.9,unknown
159,7.95,unknown
160,8.0,unknown
161,8.05,unknown
162,8.1,unknown
163,8.15,unknown
164,8.2,unknown
165,8.25,unknown
166,8.3,unknown
167,8.35,unknown
168,8.4,unknown
169,8.45,unknown
170,8.5,unknown
171,8.55,unknown
172,8.6,unknown
173,8.65,unknown
174,8.7,unknown
175,8.75,unknown
176,8.8,unknown
177,8.85,unknown
178,8.9,unknown
179,8.95,unknown
180,9.0,unknown
181,9.05,unknown
182,9.1,unknown
183,9.15,unknown
184,9.2,unknown
185,9.25,unknown
186,9.3,unknown
187,9.35,unknown
188,9.4,unknown
189,9.45,unknown
190,9.5,unknown
191,9.55,unknown
192,9.6,unknown
193,9.65,unknown
194,9.7,unknown
195,9.75,unknown
196,9.8,unknown
197,9.85,unknown
198,9.9,unknown
199,9.95,unknown
200,10.0,unknown
201,10.05,unknown
202,10.1,unknown
203,10.15,unknown
204,10.2,unknown
205,10.25,unknown
206,10.3,unknown
207,10.35,blinking
208,10.4,unknown
209,10.45,blinking
210,10.5,blinking
211,10.55,blinking
212,10.6,blinking
213,10.65,unknown
214,10.7,unknown
215,10.75,unknown
216,10.8,unknown
217,10.85,unknown
218,10.9,unknown
219,10.95,unknown
220,11.0,unknown
221,11.05,unknown
222,11.1,unknown
223,11.15,unknown
224,11.2,unknown
225,11.25,unknown
226,11.3,unknown
227,11.35,unknown
228,11.4,unknown
229,11.45,unknown
230,11.5,unknown
231,11.55,unknown
232,11.6,unknown
233,11.65,unknown
234,11.7,unknown
235,11.75,unknown
236,11.8,unknown
237,11.85,unknown
238,11.9,unknown
239,11.95,left
240,12.0,unknown
241,12.05,unknown
242,12.1,unknown
243,12.15,unknown
244,12.2,unknown
245,12.25,unknown
246,12.3,unknown
247,12.35,unknown
248,12.4,unknown
249,12.45,unknown
250,12.5,unknown
251,12.55,unknown
252,12.6,unknown
253,12.65,unknown
254,12.7,unknown
255,12.75,unknown
256,12.8,unknown
257,12.85,unknown
258,12.9,unknown
259,12.95,unknown
260,13.0,unknown
261,13.05,unknown
262,13.1,unknown
263,13.15,unknown
264,13.2,unknown
265,13.25,unknown
266,13.3,unknown
267,13.35,unknown
268,13.4,unknown
269,13.45,unknown
270,13.5,unknown
271,13.55,unknown
272,13.6,unknown
273,13.65,unknown
274,13.7,unknown
275,13.75,unknown
276,13.8,unknown
277,13.85,unknown
278,13.9,unknown
279,13.95,unknown
280,14.0,unknown
281,14.05,unknown
282,14.1,unknown
283,14.15,unknown
284,14.2,unknown
285,14.25,unknown
286,14.3,unknown
287,14.35,unknown
288,14.4,unknown
289,14.45,unknown
290,14.5,blinking
291,14.55,unknown
292,14.6,blinking
293,14.65,unknown
294,14.7,unknown
295,14.75,unknown
296,14.8,unknown
297,14.85,unknown
298,14.9,unknown
299,14.95,unknown
300,15.0,unknown
301,15.05,unknown
302,15.1,unknown
303,15.15,unknown
304,15.2,unknown
305,15.25,unknown
306,15.3,unknown
307,15.35,unknown
308,15.4,unknown
309,15.45,unknown
310,15.5,blinking
311,15.55,unknown
312,15.6,unknown
313,15.65,unknown
314,15.7,unknown
315,15.75,unknown
316,15.8,unknown
317,15.85,unknown
318,15.9,unknown
319,15.95,unknown
320,16.0,unknown
321,16.05,unknown
322,16.1,unknown
323,16.15,unknown
324,16.2,unknown
325,16.25,unknown
326,16.3,unknown
327,16.35,blinking
328,16.4,unknown
329,16.45,unknown
330,16.5,unknown
331,16.55,unknown
332,16.6,unknown
333,16.65,unknown
334,16.7,unknown
335,16.75,unknown
336,16.8,unknown
337,16.85,unknown
338,16.9,unknown
339,16.95,unknown
340,17.0,unknown
341,17.05,unknown
342,17.1,unknown
343,17.15,unknown
344,17.2,unknown
345,17.25,unknown
346,17.3,unknown
347,17.35,unknown
348,17.4,blinking
349,17.45,unknown
350,17.5,unknown
351,17.55,unknown
352,17.6,unknown
353,17.65,unknown
354,17.7,unknown
355,17.75,unknown
356,17.8,unknown
357,17.85,unknown
358,17.9,unknown
359,17.95,unknown
360,18.0,unknown
361,18.05,unknown
362,18.1,unknown
363,18.15,unknown
364,18.2,unknown
365,18.25,unknown
366,18.3,unknown
367,18.35,unknown
368,18.4,unknown
369,18.45,unknown
370,18.5,unknown
371,18.55,unknown
372,18.6,unknown
373,18.65,unknown
374,18.7,unknown
375,18.75,blinking
376,18.8,blinking
377,18.85,blinking
378,18.9,blinking
379,18.95,unknown
380,19.0,blinking
381,19.05,blinking
382,19.1,unknown
383,19.15,unknown
384,19.2,blinking
385,19.25,unknown
386,19.3,blinking
387,19.35,blinking
388,19.4,blinking
389,19.45,unknown
390,19.5,unknown
391,19.55,unknown
392,19.6,blinking
393,19.65,blinking
394,19.7,unknown
395,19.75,unknown
396,19.8,unknown
397,19.85,unknown
398,19.9,unknown
399,19.95,unknown
400,20.0,blinking
401,20.05,blinking
402,20.1,blinking
403,20.15,unknown
404,20.2,blinking
405,20.25,blinking
406,20.3,blinking
407,20.35,blinking
408,20.4,unknown
409,20.45,unknown
410,20.5,unknown
411,20.55,unknown
412,20.6,unknown
413,20.65,unknown
414,20.7,unknown
415,20.75,unknown
416,20.8,unknown
417,20.85,unknown
418,20.9,unknown
419,20.95,unknown
420,21.0,unknown
421,21.05,unknown
422,21.1,unknown
423,21.15,unknown
424,21.2,unknown
425,21.25,unknown
426,21.3,blinking
427,21.35,blinking
428,21.4,unknown
429,21.45,unknown
430,21.5,blinking
431,21.55,unknown
432,21.6,unknown
433,21.65,unknown
434,21.7,unknown
435,21.75,unknown
436,21.8,unknown
437,21.85,blinking
438,21.9,unknown
439,21.95,unknown
440,22.0,unknown
441,22.05,unknown
442,22.1,unknown
443,22.15,unknown
444,22.2,unknown
445,22.25,unknown
446,22.3,blinking
447,22.35,blinking
448,22.4,blinking
449,22.45,blinking
450,22.5,unknown
451,22.55,blinking
452,22.6,blinking
453,22.65,unknown
454,22.7,unknown
455,22.75,unknown
456,22.8,unknown
457,22.85,unknown
458,22.9,unknown
459,22.95,unknown
460,23.0,unknown
461,23.05,unknown
462,23.1,unknown
463,23.15,unknown
464,23.2,unknown
465,23.25,unknown
466,23.3,unknown
467,23.35,unknown
468,23.4,unknown
469,23.45,blinking
470,23.5,blinking
471,23.55,unknown
472,23.6,unknown
473,23.65,unknown
474,23.7,unknown
475,23.75,unknown
476,23.8,unknown
477,23.85,unknown
478,23.9,unknown
479,23.95,unknown
480,24.0,unknown
481,24.05,unknown
482,24.1,unknown
483,24.15,unknown
484,24.2,unknown
485,24.25,unknown
486,24.3,unknown
487,24.35,unknown
488,24.4,unknown
489,24.45,unknown
490,24.5,unknown
491,24.55,unknown
492,24.6,unknown
493,24.65,unknown
494,24.7,unknown
495,24.75,unknown
496,24.8,unknown
497,24.85,unknown
498,24.9,unknown
499,24.95,unknown
500,25.0,unknown
501,25.05,unknown
502,25.1,unknown
503,25.15,unknown
504,25.2,unknown
505,25.25,blinking
506,25.3,unknown
507,25.35,unknown
508,25.4,unknown
509,25.45,unknown
510,25.5,unknown
511,25.55,unknown
512,25.6,unknown
513,25.65,unknown
514,25.7,unknown
515,25.75,unknown
516,25.8,unknown
517,25.85,unknown
518,25.9,unknown
519,25.95,unknown
520,26.0,unknown
521,26.05,unknown
522,26.1,unknown
523,26.15,unknown
524,26.2,unknown
525,26.25,unknown
526,26.3,unknown
527,26.35,unknown
528,26.4,unknown
529,26.45,unknown
530,26.5,unknown
531,26.55,unknown
532,26.6,unknown
533,26.65,unknown
534,26.7,unknown
535,26.75,unknown
536,26.8,unknown
537,26.85,unknown
538,26.9,unknown
539,26.95,unknown
540,27.0,unknown
541,27.05,unknown
542,27.1,unknown
543,27.15,unknown
544,27.2,unknown
545,27.25,unknown
546,27.3,unknown
547,27.35,unknown
548,27.4,unknown
549,27.45,unknown
550,27.5,unknown
551,27.55,unknown
552,27.6,blinking
553,27.65,unknown
554,27.7,unknown
555,27.75,unknown
556,27.8,unknown
557,27.85,unknown
558,27.9,unknown
559,27.95,unknown
560,28.0,unknown
561,28.05,unknown
562,28.1,unknown
563,28.15,unknown
564,28.2,unknown
565,28.25,unknown
566,28.3,unknown
567,28.35,unknown
568,28.4,unknown
569,28.45,unknown
570,28.5,unknown
571,28.55,unknown
572,28.6,blinking
573,28.65,unknown
574,28.7,blinking
575,28.75,unknown
576,28.8,unknown
577,28.85,blinking
578,28.9,blinking
579,28.95,unknown
580,29.0,blinking
581,29.05,unknown
582,29.1,unknown
583,29.15,unknown
584,29.2,unknown
585,29.25,unknown
586,29.3,unknown
587,29.35,unknown
588,29.4,unknown
589,29.45,blinking
590,29.5,blinking
591,29.55,blinking
592,29.6,blinking
593,29.65,blinking
594,29.7,unknown
595,29.75,blinking
596,29.8,blinking
597,29.85,blinking
598,29.9,blinking
599,29.95,blinking
600,30.0,blinking
601,30.05,unknown
602,30.1,unknown
603,30.15,unknown
604,30.2,unknown
605,30.25,blinking
606,30.3,blinking
607,30.35,unknown
608,30.4,blinking
609,30.45,unknown
610,30.5,blinking
611,30.55,blinking
612,30.6,unknown
613,30.65,unknown
614,30.7,unknown
615,30.75,blinking
616,30.8,blinking
617,30.85,blinking
618,30.9,unknown
619,30.95,unknown
620,31.0,unknown
621,31.05,blinking
622,31.1,unknown
623,31.15,unknown
624,31.2,left
625,31.25,blinking
626,31.3,blinking
627,31.35,blinking
628,31.4,unknown
629,31.45,unknown
630,31.5,blinking
631,31.55,blinking
632,31.6,unknown
633,31.65,blinking
634,31.7,unknown
635,31.75,blinking
636,31.8,blinking
637,31.85,blinking
638,31.9,blinking
639,31.95,blinking
640,32.0,blinking
641,32.05,blinking
642,32.1,blinking
643,32.15,blinking
644,32.2,blinking
645,32.25,blinking
646,32.3,blinking
647,32.35,blinking
648,32.4,blinking
649,32.45,blinking
650,32.5,blinking
651,32.55,blinking
652,32.6,unknown
653,32.65,unknown
654,32.7,blinking
655,32.75,unknown
656,32.8,unknown
657,32.85,blinking
658,32.9,blinking
659,32.95,blinking
660,33.0,blinking
661,33.05,blinking
662,33.1,blinking
663,33.15,blinking
664,33.2,blinking
665,33.25,blinking
666,33.3,unknown
667,33.35,blinking
668,33.4,unknown
669,33.45,unknown
670,33.5,unknown
671,33.55,unknown
672,33.6,unknown
673,33.65,unknown
674,33.7,unknown
675,33.75,blinking
676,33.8,unknown
677,33.85,unknown
678,33.9,unknown
679,33.95,unknown
680,34.0,unknown
681,34.05,unknown
682,34.1,unknown
683,34.15,unknown
684,34.2,unknown
685,34.25,unknown
686,34.3,unknown
687,34.35,unknown
688,34.4,unknown
689,34.45,unknown
690,34.5,unknown
691,34.55,unknown
692,34.6,unknown
693,34.65,unknown
694,34.7,unknown
695,34.75,unknown
696,34.8,unknown
697,34.85,unknown
698,34.9,unknown
699,34.95,unknown
700,35.0,unknown
701,35.05,unknown
702,35.1,unknown
703,35.15,unknown
704,35.2,unknown
705,35.25,unknown
706,35.3,unknown
707,35.35,unknown
708,35.4,unknown
709,35.45,unknown
710,35.5,unknown
711,35.55,unknown
712,35.6,unknown
713,35.65,unknown
714,35.7,unknown
715,35.75,unknown
716,35.8,unknown
717,35.85,unknown
718,35.9,unknown
719,35.95,unknown
720,36.0,unknown
